orig	mod	comp	total
Svenska teknologför.	Svenska teknologförening		0
Svenska teknologför:	Svenska teknologförening	Svenska teknologför:	0
Svenska teknologfören:	Svenska teknologförening	Svenska teknologfören:	0
Svenska teknologförening:	Svenska teknologförening		0
Svenska teknologiförening	Svenska teknologförening		0
Vårt hem	Vårt hem	Vårt hem	117
Gyldendal	Gyldendal	Gyldendal	116
Gyldenhal	Gyldendal		0
Sandbergs bokhandel	Sandbergs bokhandel	Sandbergs bokhandel	116
Huldberg	Huldberg	Huldberg	115
Huldbergs	Huldberg	Huldbergs	0
Huldtberg	Huldberg		0
Arbetarne	Arbetarne	Arbetarne	114
Arbetaren	Arbetarne		0
Arbetarna	Arbetarne	Arbetarna	0
Arbetarnes	Arbetarne	Arbetarnes	0
Looström	Looström	Looström	113
Loofström	Looström		0
Westerberg	Westerberg	Westerberg	113
Westerbergs	Westerberg	Westerbergs	0
Sveriges kristliga studentrörelse	Sveriges kristliga studentrörelse	Sveriges kristliga studentrörelse	112
Sveriges kristliga studenrörelse	Sveriges kristliga studentrörelse		0
Sveriges kristliga studentrörelser	Sveriges kristliga studentrörelse		0
Sveriges kristliga studentörelse	Sveriges kristliga studentrörelse		0
Lindh	Lindh	Lindh	109
Lindhs	Lindh	Lindhs	0
Ad. Bonnier	Adolf Bonnier	Adolf Bonnier	108
F. & G. Beijers -aktb	F. & G. Beijers -aktb	F. & G. Beijers -aktb	108
F. & G. Beijers aktb	F. & G. Beijers -aktb		0
Litteratur	Litteratur	Litteratur	108
Frihet	Frihet	Frihet	107
Frihets	Frihet	Frihets	0
Lindstedts universitetsbokhandel	Lindstedts universitetsbokhandel	Lindstedts universitetsbokhandel	107
Lindstedts universitets bokhandel	Lindstedts universitetsbokhandel	Lindstedts universitets bokhandel	0
Lindstedts universitetsBokhandel	Lindstedts universitetsbokhandel		0
Inst	Inst	Inst	106
Svenska vis	Svenska vis	Svenska vis	106
Norrköpings tidning	Norrköpings tidning	Norrköpings tidning	105
Norrköpings tidningar	Norrköpings tidning	Norrköpings tidningar	0
Norrköpings tidningar-tr	Norrköpings tidning		0
Norrköpings tidningars	Norrköpings tidning		0
Framåt	Framåt	Framåt	102
Gernandt	Gernandt	Gernandt	101
Gernandts	Gernandt		0
Lantbruksförb:s tidskrift-	Lantbruksförb:s tidskrift-	Lantbruksförb:s tidskrift-	101
Lantbruksförb:s tidsk-	Lantbruksförb:s tidskrift-		0
Lantbruksförb:s tidskrift	Lantbruksförb:s tidskrift-	Lantbruksförb:s tidskrift	0
Lantbruksförb:s tidskrift-a/b	Lantbruksförb:s tidskrift-		0
Svea rike	Svea rike	Svea rike	100
Länstidning	Länstidning	Länstidning	99
Läns-tidning	Länstidning		0
Länstidnings	Länstidning	Länstidnings	0
Wennerberg	Wennerberg	Wennerberg	98
K.L. Beckman	K.L. Beckman	K.L. Beckman	97
K.L. Beckmans	K.L. Beckman		0
Ed. Lundén	Ed. Lunden	Ed. Lunden	96
Skol	Skol	Skol	96
Svenska missions	Svenska missions	Svenska missions	96
Svenska mission	Svenska missions	Svenska mission	0
Svenska mission-	Svenska missions	Svenska mission-	0
Svenska mission- -	Svenska missions		0
Svenska mission- exp	Svenska missions		0
Svenska missionstr	Svenska missions		0
Svenska missons	Svenska missions	Svenska missons	0
Hellström	Hellström	Hellström	95
Världslitteraturen	Världslitteraturen	Världslitteraturen	95
Bergvall	Bergvall	Bergvall	94
Bergwall	Bergvall		0
Bergvalls	Bergvall	Bergvalls	0
Bervall	Bergvall		0
Berwall	Bergvall		0
Gen.-st:s lit. anstalte	Gen.-st:s lit. anstalte	Gen.-st:s lit. anstalte	94
Gen.-st:s lit. anst.	Gen.-st:s lit. anstalte		0
Gen.-st:s lit. anstalt	Gen.-st:s lit. anstalte		0
Gen.-st:s lit.anstalte	Gen.-st:s lit. anstalte		0
Lindstedts bokhandel	Lindstedts bokhandel	Lindstedts bokhandel	94
Lindstedtss bokhandel	Lindstedts bokhandel		0
Norman	Norman	Norman	94
Normann	Norman		0
Normans	Norman		0
Norrman	Norman		0
Hjalmar Lundberg & Gösta Olzon	Hjalmar Lundberg & Gösta Olzon	Hjalmar Lundberg & Gösta Olzon	93
Svithiod	Svithiod	Svithiod	93
Norstedt & Söner	Norstedt & Söner	Norstedt & Söner	91
Nordstedt & Söner	Norstedt & Söner		0
Norstedt & söner	Norstedt & Söner	Norstedt & söner	0
Norstedt & Söners	Norstedt & Söner		0
Håkan Ohlsson	Håkan Ohlsson	Håkan Ohlsson	90
Lamm	Lamm	Lamm	90
