Corporate_name	Count
Kålltorps hyresgästförening.	2
K.F.U.M:s bibliotek.	2
Göteborg. Högskolan. Befordringsfrågor.	2
Göteborg. Frälsningsarmén.	2
Gävle gymnasiiförbund Verdandi.	2
Gotländska missionsförbundet.	2
Sveriges Goodtemplares ungdomsförbund	2
Sveriges författareförening	2
Förenta nationerna	2
Föreningen för svensk kulturhistoria.	2
Samfundet Folkhälsan i svenska Finland	2
Flottans pensionskassa	2
Finska kennelklubben	2
Ekonomiska frihetsförbundet	2
Driftingenjörsförbundet i Finland r.f.	2
Djursholms samskolas gymnasieklubb.	2
Dingle. Göteborgs och Bohus läns lantmannaskola.	2
Civila ryttarförbundet	2
Båstads gymnastik- och idrottsförening.	2
Sällskapet Bohusläns skärgårdsmission.	2
Aktiebolaget Bofors.	2
Landsorganisationen i Sverige.	2
Swedish evangelical lutheran church.	2
Svenska handelskammaren i Schweiz.	2
Utställning 1885.	2
Alingsås missionsförsamling.	2
Agrarförbund Sveriges.	2
Utställning 1893.	2
Centralförbundet för socialt arbete.	2
Centralförbundet för nykterhetsundervisning	2
Centralhandelskammaren i Finland	2
Bromstens idrottsklubb	2
Statens Provningsanstalt	2
Sveriges Postbetjänteförening	2
United States.	2
Universitetet (Pernau)	2
Pedagogiska föreningen i Finland	2
Par Bricole	2
Aktiebolaget Svenska Ostasiatiska kompaniet	2
Ockelboverkens rekognitionsskog	2
Nylands och Tavastehus läns landtbrukssällskap	2
Nyländska jaktklubben	2
Nosaby folkbibliotek	2
Tekniska elementarskolan (Norrköping)	2
Norrköpings sjömanshem	2
Norrköpings kappsimningsklubb	2
Holmens bruks och fabriks AB	2
Handtverkande borgerskapets sjuk- och begrafningskassa samt nödhjelpsfond (Norrköping)	2
Norrköpings gymnastikförening	2
Norrköpings folkskolebibliotek	2
Blåbandsförbund (Norrbottens län)	2
Norrbottens arbetsstugor	2
Norrahammars gymnastik- och idrottssällskap	2
Norrahammars bruks tjänstemannaklubb	2
A/B Nordiska föreningsbanken	2
Nokia aktiebolag	2
Nedansjö hushållsförening	2
Nationaltemplarorden	2
Svenska Nationalföreningen mot tuberkulos	2
Mölndals sportklubb	2
Svenska Motorförbundet	2
Svenska Mosskulturföreningen	2
Morups handelsförening	2
Metodist-episkopalkyrkan i Finland	2
Goodtemplarorden (Medelpad)	2
Medelpads allmänna körförbund	2
Marinförvaltningen	2
Malmö stadsmission	2
Odd Fellow-orden (Malmö)	2
Kyrkliga förbundets boksamling (Malmö)	2
Gymnastikklubben Motion (Malmö)	2
Malmö damsällskap	2
Malmö boll- & idrottsförening	2
Betels ungdomsförening (Malmö)	2
Lärarinnornas missionsförening	2
Sveriges lärares nykterhetsförbund	2
Lund-Bjerreds spårväg	2
Universitetets konstmuseum (Lund)	2
Lunds scoutkår	2
K.F.U.M. (Lund)	2
Karolinska katedralskolan (Lund)	2
Göteborgs nation (Lunds universitet)	2
