"","catalog","author","title","town","from","till","publisher"
"188","fennica","Aho, Juhani","Katajainen kansani ja muita uusia j ... anhoja lastuja vuosilta 1891 ja 1899","Stockholm",1899,1899,""
"189","fennica","Aho, Juhani","Kolme lastua lapsille","Quedlinburg",1899,1899,""
"190","fennica","Aho, Juhani","Lastuja","Stockholm",1899,1899,"Kansa"
"191","fennica","Aho, Juhani","Mitä uusi asema vaatii?","åpo",1899,1899,"Pellervo"
"192","fennica","Aho, Juhani","Mitä uusi asema vaatii?","åpo",1899,1899,"Minerva"
"193","fennica","Aho, Juhani","Valo ja valistus","Leipzig",1899,1899,"W. Söderström"
"194","kungliga","Aho, Juhani","Katajanen kansani ja muita uusia ja ... anhoja lastuja vuosilta 1891 ja 1899","Providence RI",1899,1899,""
"195","kungliga","Aho, Juhani","Bogen om Finland","L vôv",1899,1899,""
"196","fennica","Runeberg, Johan Ludvig","Lyyrillisiä runoelmia","Stockholm",1885,1885,"Hjelt"
"197","fennica","Runeberg, Johan Ludvig","Lyyrillisiä runoelmia","Stockholm",1885,1885,""
"198","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Helsinki",1885,1885,"Suomalaisen Kirjallisuuden Seura"
"199","fennica","Runeberg, Johan Ludvig","Julqvällen","Helsinki",1885,1885,"Suomalaisen Kirjallisuuden Seura"
"200","fennica","Runeberg, Johan Ludvig","Fændrik Staals fortællinger","Königsberg",1885,1885,"Thorvald Michaelsen & Tillge"
"201","fennica","Runeberg, Johan Ludvig","Elgskyttarne","Suomussalmi",1885,1885,"Suomalainen Tiedeakatemia"
"202","kungliga","Runeberg, Johan Ludvig","Julqvällen","Stockholm falun uppsala",1885,1885,"förening"
"203","kungliga","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Helsingsissä",1885,1885,"Thule"
"204","kungliga","Runeberg, Johan Ludvig","Elgskyttarne","Stockholm falun uppsala",1885,1885,"förening"
"205","kungliga","Runeberg, Johan Ludvig","Fændrik Staals Fortællinger i Udvalg","Kongsberg",1885,1885,""
"206","kungliga","Runeberg, Johan Ludvig","Lyyrillisiä runoelmia","Princeton newyork",1885,1885,"Lindqvist"
"207","fennica","Topelius, Zacharias","Feltlægens Historier","Köln",1894,1894,"K. F. U. M"
"208","fennica","Topelius, Zacharias","Keisarin ja suurruhtinaan Aleksante ... II:sen muisto huhtikuun 29 p:nä 1894","Quedlinburg",1894,1894,""
"209","fennica","Topelius, Zacharias","Lukukirja alimmaisille oppilaitoksille Suomessa","Hull",1894,1894,"Suomalaisen Kirjallisuuden Seura"
"210","fennica","Topelius, Zacharias","Neljä runoa","Hull",1894,1894,""
"211","fennica","Topelius, Zacharias","Evangelium for Børn","Königsberg",1894,1894,"Julius Springer"
"212","fennica","Topelius, Zacharias","Kejsaren, storfursten Alexander II:s minne den 29 april 1894","Helsinki",1894,1894,""
"213","fennica","Topelius, Zacharias","Läsebok för de lägsta läroverken i Finland","Helsinki",1894,1894,"Senaten"
"214","fennica","Topelius, Zacharias","Läsebok för de lägsta läroverken i Finland","Helsinki",1894,1894,"Suomalaisen Kirjallisuuden Seura"
"215","fennica","Topelius, Zacharias","Sanningen i går, i dag och i morgon","Helsinki",1894,1894,"s.n"
"216","kungliga","Topelius, Zacharias","Kejsaren, storfursten Alexander II:s minne","Helsingsissä",1894,1894,""
"217","fennica","Boxström, A","Kartupptagning med kompass och diopterlinial","Helsinki",1890,1890,"Överstyrelse för skolväsendet"
"218","fennica","Boxström, A","Folktillväxten i Finland 1751-1885","Helsinki",1890,1890,"Överstyrelse för skolväsendet"
"219","fennica","Boxström, A","Folktillväxten i Finland 1751-1885","Helsinki",1890,1890,""
"220","kungliga","Boxström, A","Karupptagning med kompass och diopterlinial","Holmiæ anni mdccxx",1890,1890,""
"221","fennica","Meurman, Agathon","Suomi ennen ja nyt","Hinnerjoki",1890,1890,""
"222","fennica","Meurman, Agathon","Finland förr och nu","Helsinki",1890,1890,""
"223","fennica","Meurman, Agathon","Finland förr och nu","Helsinki",1890,1890,"Suomalaisen Kirjallisuuden Seura"
"224","fennica","Meurman, Agathon","La Finlande d'autrefois et d'aujourd'hui","Helsinki",1890,1890,"Suomalaisen Kirjallisuuden Seura"
"225","kungliga","Meurman, Agathon","Finland förr och nu","Helsingsissä",1890,1890,""
"226","fennica","Weikkolin, Ida","Swarta Sara från Owambolandet","Helsinki",1888,1888,"Tytty Lagerstedt"
"227","fennica","Weikkolin, Ida","'Matka Suomesta Afrikaan'","Hull",1888,1888,"Tuhkanen"
"228","fennica","Weikkolin, Ida","'Resan från Finland till Afrika'","Helsinki",1888,1888,"Tytty Lagerstedt"
"229","fennica","Weikkolin, Ida","Musta Saara Owambosta","Hull",1888,1888,"Wile´n"
"230","fennica","Weikkolin, Ida","'Resan från Finland till Afrika'","Helsinki",1888,1888,"Helios"
"231","fennica","Weikkolin, Ida","Svarta Sara från Ovambolandet, med bild","Helsinki",1888,1888,"Helios"
"232","kungliga","Weikkolin, Ida","'Resan från Finland till Afrika'","Helsingsissä",1888,1888,""
