original_publisher	modified_publisher
Generalstens litografiska anstalte	Generalstens litografiska anstalt
Ingeniörsvetenskapsakademien	Ingeniörsvetenskapsakad
Ingenjörsvetenskapsakademien	Ingeniörsvetenskapsakad
Ingenjörsvetenskapsakademien IVA	Ingeniörsvetenskapsakad
Skandinaviska -exp	Skandinaviska sexp
Skandinaviska f.-exp	Skandinaviska sexp
Skandinaviska press	Skandinaviska sexp
Skandinaviska s-exp	Skandinaviska sexp
Skandinaviska sexped	Skandinaviska sexp
Lindströms	Lindström
Linnström	Lindström
Linnströms	Lindström
V. Pettersons	V. Petterson
V. Pettersson	V. Petterson
Brandt	Brand
Fritzes hofbokhandel	Fritzes hovbokhandel
Fritzes hovbokhandel 	Fritzes hovbokhandel
W. Zachrisons	W. Zachrisson
W. Zachrissons	W. Zachrisson
And. L. Löfström	Anders L. Löfström
Brevskolan/F	Brevskolan
E. Munksgaard	E. Munksgård
- Demokraten	Demokraten
J.A. Lindblads	J.A. Lindblad
Pro caritates	Pro caritate
Suomalainen kirjallisuuden seura	Suomalaisen kirjallisuuden seura
Zetterlund & T elanders	Zetterlund & Thelander
Zetterlund & Thelanders	Zetterlund & Thelander
Zetterlund & Thelanders bok	Zetterlund & Thelander
Zetterlund & Thelanders bok-	Zetterlund & Thelander
Aftonblads	Aftonblad
Berlingske	Berlingska
Fr. Skoglund	Frederic Skoglund
Frenckel	Frenckell
Ahlings musik	Ahlins musik
Bergh	Berg
Berghs	Berg
Gummereus	Gummerus
Ågrens	Ågren
Fahlcrantz & C:O	Fahlcrantz & Co
Fahlcrantz & co	Fahlcrantz & Co
Schager	Schlager-
Schlager	Schlager-
Schlagern	Schlager-
Allehandas	Allehanda
H. Carlssons bokhandel	H. Carlsons bokhandel
Lundequist	Lundeqvist
Lundeqwist	Lundeqvist
Lundquist	Lundeqvist
Lundqvist	Lundeqvist
Svanbäcks	Svanbäck
Sveriges kyrkl. studie	Sveriges kyrkl. studie-
Östgötens	Östgöten
Seelig & Co.	Seelig & Co
Skandias	Skandia
Skania	Skandia
Söderström & C	Söderström & Co
Söderström & C.o	Söderström & Co
Söderström & co	Söderström & Co
Östersunds-posten	Östersunds-Posten
Östersunds-postens	Östersunds-Posten
Östersunds-Postens	Östersunds-Posten
Östersundspost:s	Östersunds-Posten
Östersundsposten	Östersunds-Posten
Östersundspostens	Östersunds-Posten
Engberg-Holmberg publad	Engberg-Holmberg Publad Co
N.P. Persson	N.P. Pehrsson
P.A. Huldberg-aktieb	P.A. Huldbergsaktieb
P.A. Huldbergs -aktb	P.A. Huldbergsaktieb
P.A. Huldbergs -aktieb	P.A. Huldbergsaktieb
P.A. Huldbergs aktieb	P.A. Huldbergsaktieb
B. M	B. M:s
B. M:	B. M:s
Lundén	Lundgrenska
Lundéns	Lundgrenska
Lundgren	Lundgrenska
Lundgrens	Lundgrenska
Frälsningsarmén	Frälsningsarmen
Frälsningsarméns	Frälsningsarmen
Lundgrens söners	Lundgrens söner
Sanningsvittner	Sanningsvittnet
Svenska freds- & skiljedomsfören:	Svenska freds- & skiljedomsförening
Sveska freds- & skiljedomsförening	Svenska freds- & skiljedomsförening
'Folket	Folket
Foket	Folket
Östergötlands dagbl:s	Östergötlands Dagblad
Östergötlands dagblad	Östergötlands Dagblad
Östergötlands dagblads nya	Östergötlands Dagblad
Ed. Kejwing	Ed. Kejving
Ed. Kjeving	Ed. Kejving
Ed. W. Kejving	Ed. Kejving
Ed. W. Kjeving	Ed. Kejving
Hegelseförbund	Helgelseförbund
Stenström & Bartelsons	Stenström & Bartelson
Stenström & Bartelsov	Stenström & Bartelson
Stenström & Bartelsson	Stenström & Bartelson
Stenström & Bertilson	Stenström & Bartelson
affärsekonomi	Affärsekonomi
Ph. Lindstedts universitetsbokhandel	Philip Lindstedts universitetsbokhandel
Arbetarbladets	Arbetarblad
Arbetarebiblad	Arbetarblad
Baltisk	Baltiska
Församling	Församlingen
församlingen	Församlingen
Meijels	Meijel
W. Schultz'	W. Schultz
wald. Zachrisson	Wald. Zachrisson
Wald. Zachrisson i	Wald. Zachrisson
Wald. Zachrissons	Wald. Zachrisson
Bermann-Fischer vlg	Bermann-Fischer
Bermann-Fisher	Bermann-Fischer
Edquist	Edqvist
Falu nya bok	Falu nya bok-
Gotlänningens	Gotlänningen
Gottlänningens	Gotlänningen
National-	National
Nationale	National
