original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
24:o(12, avl.)	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	     2
32:o(2).	32mo	NA	NA	FALSE	32mo	  7.0	 12.0	 0	   84.00	     2
8:o(8, 4).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
8:o(tv).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
8:o(4 o.2).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
48:o(4).	48mo	NA	NA	FALSE	48mo	  6.5	 10.0	 0	   65.00	     2
12:o(4).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     2
22x15 cm	NA	 15.0	 22.0	FALSE	NA	 15.0	 22.0	NA	  330.00	     2
43 cm	NA	NA	 43.0	FALSE	NA	 28.0	 43.0	NA	 1204.00	     2
16 cm.	NA	NA	 16.0	FALSE	NA	 11.0	 16.0	NA	  176.00	     2
21x14 cm.	NA	 14.0	 21.0	FALSE	NA	 14.0	 21.0	NA	  294.00	     2
22cm	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     2
15 x 21 cm	NA	 15.0	 21.0	FALSE	NA	 15.0	 21.0	NA	  315.00	     2
14 x 21 cm	NA	 14.0	 21.0	FALSE	NA	 14.0	 21.0	NA	  294.00	     2
18 cm +	NA	NA	 18.0	FALSE	NA	 12.0	 18.0	NA	  216.00	     2
41 cm	NA	NA	 41.0	FALSE	NA	 27.0	 41.0	NA	 1107.00	     2
22 x 29 cm	NA	 22.0	 29.0	FALSE	NA	 22.0	 29.0	NA	  638.00	     2
19 cm (8:o)	8vo	NA	 19.0	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
17 x 26 cm	NA	 17.0	 26.0	FALSE	NA	 17.0	 26.0	NA	  442.00	     2
22 x 30 cm	NA	 22.0	 30.0	FALSE	NA	 22.0	 30.0	NA	  660.00	     2
12:o +	12long	NA	NA	FALSE	12long	 13.0	 20.0	 0	  260.00	     1
7x11 cm	NA	  7.0	 11.0	FALSE	NA	  7.0	 11.0	NA	   77.00	     1
39 x 49 cm	NA	 39.0	 49.0	FALSE	NA	 39.0	 49.0	NA	 1911.00	     1
15 x 25 cm	NA	 15.0	 25.0	FALSE	NA	 15.0	 25.0	NA	  375.00	     1
8:o(tv)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     1
[16:o]	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	     1
35 x 23 cm	NA	 23.0	 35.0	FALSE	NA	 23.0	 35.0	NA	  805.00	     1
210 x 144 mm	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     1
27x21 cm	NA	 21.0	 27.0	FALSE	NA	 21.0	 27.0	NA	  567.00	     1
24x16,5 cm	NA	 16.5	 24.0	FALSE	NA	 16.5	 24.0	NA	  396.00	     1
22x28,5 cm	NA	 22.0	 28.5	FALSE	NA	 22.0	 28.5	NA	  627.00	     1
19 x 11 cm	NA	 11.0	 19.0	FALSE	NA	 11.0	 19.0	NA	  209.00	     1
27,5x20 cm	NA	 20.0	 27.5	FALSE	NA	 20.0	 27.5	NA	  550.00	     1
18x13	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     1
159 s.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     1
24 x16 cm	NA	 16.0	 24.0	FALSE	NA	 16.0	 24.0	NA	  384.00	     1
26x20 cm	NA	 20.0	 26.0	FALSE	NA	 20.0	 26.0	NA	  520.00	     1
10,5x13 cm	NA	 10.5	 13.0	FALSE	NA	 10.5	 13.0	NA	  136.50	     1
37 x 23 cm	NA	 23.0	 37.0	FALSE	NA	 23.0	 37.0	NA	  851.00	     1
64:o	64mo	NA	NA	FALSE	64mo	  5.0	  7.0	 0	   35.00	     1
16x10,5 cm	NA	 10.5	 16.0	FALSE	NA	 10.5	 16.0	NA	  168.00	     1
268, 223, 256 s.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     1
13,5x11 cm	NA	 11.0	 13.5	FALSE	NA	 11.0	 13.5	NA	  148.50	     1
Bdsde	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     1
60 x 37 cm	NA	 37.0	 60.0	FALSE	NA	 37.0	 60.0	NA	 2220.00	     1
323 s. ;;8:o	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     1
liggande 2:o	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     1
12x20 cm	NA	 12.0	 20.0	FALSE	NA	 12.0	 20.0	NA	  240.00	     1
12:o(avl.). .	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     1
42 x 31 cm	NA	 31.0	 42.0	FALSE	NA	 31.0	 42.0	NA	 1302.00	     1
46 cm	NA	NA	 46.0	FALSE	NA	 30.0	 46.0	NA	 1380.00	     1
4o	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     1
21x17 cm	NA	 17.0	 21.0	FALSE	NA	 17.0	 21.0	NA	  357.00	     1
20x11 cm	NA	 11.0	 20.0	FALSE	NA	 11.0	 20.0	NA	  220.00	     1
33 cm +	NA	NA	 33.0	FALSE	NA	 22.0	 33.0	NA	  726.00	     1
30x22 cm	NA	 22.0	 30.0	FALSE	NA	 22.0	 30.0	NA	  660.00	     1
17x11	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     1
50-61 cm	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     1
12:o. (avl.)	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     1
st. 16:o	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	     1
15x10,5 cm	NA	 10.5	 15.0	FALSE	NA	 10.5	 15.0	NA	  157.50	     1
8:o ;;14 cm	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     1
26x19 cm	NA	 19.0	 26.0	FALSE	NA	 19.0	 26.0	NA	  494.00	     1
