original	polished	Count
Kjøbenhavn & Kristiania	Copenhagen	  1
Haag	The Hague	  1
Wiborg	Vyborg	  1
Upsala, tryckt hos Em. Bruzelius. 1831.	Uppsala	  1
Ann Arbor, Mich.	Ann Arbor MI	  1
Tukholmassa	Stockholm	  1
Tryckt i Stockholm hoos Henrich Keyser, åhr 1658.	Stockholm	  1
Wörishof	Bad Wörishofen	  1
Třebechovice	Třebechovice pod Orebem	  1
New Haven	New Haven Ct	  1
Tempe, Ariz.	Tempe az	  1
Stockholm, tryckt hos Johan A. Carlbohm, 1788.	Stockholm	  1
Gothenburg, Gedruckt bei Wahlström 1822.	Gothenburg	  1
[Lund ]	Lund	  1
Linköping, tryckt hos Fr. Schonberg och Björckegrens enka, 1792	Linköping	  1
Stockholm, tryckta hos Olof Grahn, 1822.	Stockholm	  1
Malmö ;;[Stockholm]	Malmö	  1
Stockholmisa, präntetty directörin Johan A. Carlbohmin tykönä, 1798.	Stockholm	  1
Westerås, tryckt hos Johan Laur. Horrn, på desz bekostnad, 1791.	Västerås	  1
Lützen	Luetzen	  1
Götheborg, tryckt hos Sam. Norberg, 1829.	Gothenburg	  1
Stokkholm, trykkt hos Peter Hesselberg, 1760.	Stockholm	  1
Åbo, Tryckt aff Johan Winter, Kongl. Booktr. Åhr 1685.	Turku	  1
London: Printed for Tim. Goodwin at the Qeen's Head, against St. Dunstan's Church in Fleet-street, 1694.	London	  1
Recus Giessæ Hassorum, a. MDCCXIX, typis Johannis Mülleri.	Gießen	  1
Gand..	Gand	  1
Franeqveræ, impensis Johannis Arceri bibliopolæ, anno M DC XLIX. Typis Idzardi Alberti typographi.	Frankfurt	  1
Växl.orter	Växjö	  1
[Mitau]	Jelgava	  1
Alten Stettin, Gedruckt bey G. Dahlen, Königl. Buchdr.	Szczecin	  1
Upsaliæ Excudebant Regiæ Academiæ Typographi.	Uppsala	  1
Nyköping 1795. Tryckte hos Johan Peter Hammarin.	Nyköping	  1
Stockholm, tryckt hos H. A. Nordström, 1799.	Stockholm	  1
Randers. Paa Boghandler Fr. Smiths forlag tryckt hos J.M. Elmenhoff, 1837.	Randers	  1
[Stockholm?]	Stockholm	  1
Pest	Budapest	  1
Urbana, Ill.	Urbana	  1
Upsala, Akademiska boktryckeriet	Uppsala	  1
Stockholm, å nyo tryckt i Kongl. tryckeriet 1791.	Stockholm	  1
Västerås, Per Kraft, 1802	Västerås	  1
Stockholm, uti det Kongl. tryckeriet uplagt, hos sal. direct. J. H. Werners enkia.	Stockholm	  1
[Porvoo]	Porvoo	  1
Wien..	Vienna	  1
Stockholm, tryckt i Kongl. tryckeriet, 1792.	Stockholm	  1
Uppsala ;;Stockholm :;Uppsala ;;Stockholm :;Stockholm	Uppsala	  1
Svalöv :;Svalöv :;Alnarp	Svalöv	  1
S Peterburg	St Petersburg	  1
Ubsaliæ, excudebat Johannes Janssonius, regius typographus, anno MDCLIV.	Uppsala	  1
Norrköping, hos bokhandlaren A. Bohlin. 1834.	Norrköping	  1
A Villefranche, chez Hardi Filocrate, imprimeur. M. DCC. LX.	Villefranche	  1
Berlin ...	Berlin	  1
Hangö	Hanko	  1
Stockholm, Tryckt hoos Niclas Wankijf, Kongl. Booktryckiare.	Stockholm	  1
Stockholm, 1774. Tryckt hos Henr. Fougt, Ridd. af Kongl. W. O. och Kongl. Boktryckare.	Stockholm	  1
Stockholm, tryckt hos Joh. Höberg, 1828.	Stockholm	  1
Leipzig, bey Thomas Fritschen. 1705.	Leipzig	  1
Helsingforsiae, ex officina typographica Frenckelliana.	Helsinki	  1
Leipzig ;;Berlin ;;München	Leipzig	  1
Lond. Goth. excudebat David Kempe acad. typ.	London	  1
Norköping	Norrköping	  1
Mariestad, tryckt i f. d. Lewerentz'ska boktryckeriet, 1830.	Mariestad	  1
Brussel	Brussels	  1
Stockholm ;;Skara	Stockholm	  1
Örebro, N. M. Lindhs Boktryckeri. 1841.	Örebro	  1
Jönköp.	Jönköping	  1
Stockholm, 1850. Tryckt hos Isaac Marcus	Stockholm	  1
College View, Neb.	Lincoln NE	  1
Wiipurissa	Vyborg	  1
Groningen ...	Groningen	  1
[Lästringe]	Lästringe	  1
Stockholm, tryckt på direct. Lars Salvii förlag. År 1764.	Stockholm	  1
Oslo ;;Bergen ;;Tromsø	Oslo	  1
Chicago, Illinois	Chicago IL	  1
Upsaliæ.	Uppsala	  1
A Paris, chez Cuchet, libraire, rue & hôtel Serpente. M. DCC. LXXXIV.	Paris	  1
[Nynäshamn]	Nynäshamn	  1
[Åryd]	Aryd	  1
Helmstadii, typis Pavli Dieterici Schnorrii, acad. typogr.	Helmstedt	  1
Stockholm, tryckt aff Henrich Keyser, åhr 1649.	Stockholm	  1
[Korsnäs]	Korsnäs	  1
Uppsala o. Stockholm	Uppsala	  1
Stockh.	Stockholm	  1
V[ar]b[er]g	Visingsborg	  1
Stockholmiæ, typis Andr. Biörkmanni Acad. Aboëns. typogr. MDCCXXVIII.	Stockholm	  1
Lybec	Lübeck	  1
Linköp.	Linköping	  1
Stockholm, tryckt i Kongl. tryckeriet, 1785.	Stockholm	  1
[Carlshamn]	Karlshamn	  1
Aboæ impressit Johannes Christoph. Frenckell.	Turku	  1
[Prage]	Prague	  1
Philipstad	Filipstad	  1
Lubecæ	Lübeck	  1
Stockholm, åhr 1608. [Kolofon]: Tryckt i Stockholm, af Anund Olufsson Helsing.	Stockholm	  1
Stockholm ;;London ;;New York	Stockholm	  1
Stockholm, Hos Joh. Henr. Werner, Kongl. Maj.ts och Upsala Academ. Boktryckare.	Stockholm	  1
Gothembourg	Gothenburg	  1
