original_name	original_date	final_author_id	final_author_birth	final_author_death	Count
Pettersson, Svante	1911-1994	Pettersson, Svante (1911-1994)	1911	1994	   2
Zandonai, Riccardo	1883-1944	Zandonai, Riccardo (1883-1944)	1883	1944	   2
Nystroem, Gösta	1890-1966	Nystroem, Gösta (1890-1966)	1890	1966	   2
Lindroth, Henry	1910-1993	Lindroth, Henry (1910-1993)	1910	1993	   2
Koch, Erland von	1910-2009	Koch, Erland Von (1910-2009)	1910	2009	   2
Ellington, Duke	1899-1974	Ellington, Duke (1899-1974)	1899	1974	   2
Hwasser, Daniel	1817-1871	Hwasser, Daniel (1817-1871)	1817	1871	   2
Leijoncrona, Christoffer	ca 1662-1710	Leijoncrona, Christoffer (1662-1710)	1662	1710	   2
Holmberg, Fredrik	1839-	Holmberg, Fredrik (1839-NA)	1839	NA	   2
Halloff, Oscar	1882-1938	Halloff, Oscar (1882-1938)	1882	1938	   2
Hallgrén, Gustaf	1807-	Hallgrén, Gustaf (1807-NA)	1807	NA	   2
