author_name	author_birth	author_death	Count
Kellingius, Johannes Petri	1679	NA	 2
Keckonius, Andreas Johannis	1675	NA	 2
Karl	1200	NA	 2
Julenius, Jacobus Zachariae	1600	NA	 2
Jonae, Sveno	NA	1642	 2
Jacobi, Leonhardus	1570	NA	 2
Insulaeus, Olaus Nicolai H	1660	NA	 2
Ilsbodinus, Georgius Matthiae	1600	NA	 2
Humerus, Johannes Laurentii	1673	NA	 2
Hoppener, Johannes	1600	NA	 2
Hiärne, Erlandus Erlandi	1687	NA	 2
Hinricsonius Henrichsson, Jonas	NA	NA	 2
Himselius, Gebhardus	1676	NA	 2
Hildebrand, Wolfgang	1600	NA	 2
Henrici, Hemmingus	1619	NA	 2
Heidenrich, Christian	1600	NA	 2
Hasselgren, Elias Petri	1600	NA	 2
Halmaeus, Franciscus Davidis	1600	NA	 2
Hagelsten, Sven Magni	1670	NA	 2
Gyllenstierna, Catharina	1683	NA	 2
Granberg, Lars Bengtson	1600	NA	 2
Gottlieb, Ernestus	1600	NA	 2
Glaser, Petrus	1500	NA	 2
Gertner, Christophorus	1689	NA	 2
Gammal, Martinus Matthaei	1669	NA	 2
Gallius, Stephanus	1647	NA	 2
Frediani, Ambrosio	1670	NA	 2
Fitinghoff, Erik Von	1655	NA	 2
Erici, Ericus	1615	NA	 2
Enebergh, Salomon L	NA	1667	 2
Enaeus, Andreas Nicolai	1694	NA	 2
Dalinus, Samuel Danielis	1674	NA	 2
Crucelius, Nicolaus	1717	NA	 2
Cordinsulanus, Henricus Olai	1600	NA	 2
Chærberus, Josephus Svenonis	1651	NA	 2
Catonius, Sveno Holgeri	1648	NA	 2
Cato, Marcus Porcius	NA	NA	 2
Brandtlicht, Berent	1600	NA	 2
Bock, Petrus Jonæ	1654	NA	 2
Bock, Michael	1500	NA	 2
Binningius, Ericus Johannis	1600	NA	 2
Becker, Eberhard	1600	NA	 2
Asp, Magnus Samuelis	1668	NA	 2
Arrianos	NA	NA	 2
Argillander, Andreas Andreæ	1639	NA	 2
Afthonios	NA	NA	 2
Antipapius, Theophilus	1600	NA	 2
Andreæ, Gabriel	1645	NA	 2
Andreae, Christianus	1600	NA	 2
Alsinius, Christiernus Henrici	1659	NA	 2
Alsbeckius, Matthias Andreæ	1642	NA	 2
Acrel, Johan	NA	NA	 2
Beeken, Jens Lorenz	NA	NA	 2
Wallman, Johan Olof	NA	NA	 2
Hero, Gustaf	NA	NA	 2
Nybohm, Lars Erichsson	NA	NA	 2
Bergman, Christian	NA	NA	 2
Horner, Gerhard	NA	NA	 2
Månsson, Anders	NA	NA	 2
Fredmark, J P	NA	NA	 2
Low, David	NA	NA	 2
Persson, Eric	1896	NA	 2
Carlbom, Reinholdt	NA	NA	 2
Bonisev, J T	NA	NA	 2
Boberg, Gustaf	NA	NA	 2
Björkström, Nils	NA	NA	 2
Lundahl, M	NA	NA	 2
Bergsten, Joh	NA	NA	 2
Bergh, Carl	NA	NA	 2
Bellemare, Jean François	NA	1842	 2
Beckman, Johan	1745	NA	 2
Beck, Jacob	NA	NA	 2
Bange, Anders	NA	1749	 2
Beye, Johann Hinrich	NA	NA	 2
Kierrulf, Carl Andreas	1755	NA	 2
Arfwedson, Abraham	NA	NA	 2
Molén, Lars	1700	NA	 2
Steinorth, Hans Joch	NA	NA	 2
Kamp, åke	NA	NA	 2
Wahlborg, Jonas	NA	1777	 2
Xylander, Johann Jacob	NA	NA	 2
Högberg, Birger	NA	NA	 2
Heidenstrauch, Johan	NA	1721	 2
Hammar, Ericus	NA	1711	 2
Folkern, Anna	NA	1742	 2
Meiting, Johann	NA	NA	 2
Holmdalius, Andreas	NA	1721	 2
Monthelius, E	NA	NA	 2
Ekeblad, Petrus	NA	1736	 2
Lehmann, Benjamin	NA	NA	 2
Sleiin, C	NA	NA	 2
Lundh, Isaac	NA	NA	 2
Cromén, Carl Jonas	1766	NA	 2
Persson, Knut Pehr	NA	NA	 2
Lindström, Sven Josef	1774	NA	 2
Lundberg, Salomon	NA	NA	 2
Sellstedt, Peter	NA	NA	 2
Schilling, Olof	NA	NA	 2
Larsson, Jacob	NA	1774	 2
Swartz, Olof Andreas	NA	NA	 2
Melander, Pehr Samuelsson	NA	NA	 2
Lidenius, Johan	NA	1768	 2
Lemoine, Louis	NA	1847	 2
Correa, J A	NA	NA	 2
Ekelöf, Carl Ulric	1770	NA	 2
Soldin, Eliakim Jacob	NA	NA	 2
Hinnel, Daniel Christopher	NA	NA	 2
Mört, A C	NA	NA	 2
Ihlström, Johannes	NA	NA	 2
Hagman, Gabriel Håkansson	NA	NA	 2
Valabrègue, P De	NA	NA	 2
öhrberg, Carl Anders	NA	NA	 2
Strandberg, Arfvid Gabriel	NA	NA	 2
Feilitzen, Carl Fredrik Johan Von	NA	NA	 2
Berger, Johannes	NA	NA	 2
Wagnitz, Heinrich Balthasar	NA	NA	 2
Boecler, Johann Wolfgang	1717	NA	 2
Bromley, Thomas	NA	1691	 2
Burchward, Johann	1694	NA	 2
Beck, Peder Nielsen	1600	NA	 2
Bousquet, Jean François	1766	NA	 2
Rosenthal, Christian	NA	NA	 2
Dranckmeister, Albertus	NA	NA	 2
Kloth, Olof	NA	1788	 2
Ekman, Olof Jonae	NA	1754	 2
Chrysostomos, Johannes	NA	NA	 2
Cranz, Daniel Albrecht	NA	1806	 2
Starke, Johann Georg	NA	NA	 2
Weinlig, Christian Gottlob	NA	NA	 2
Hardt, Adrian	NA	NA	 2
