original	pagecount	volnumber	volcount	Count
[4], 105 s.	 109	NA	NA	   2
[1] s.	   1	NA	NA	   2
[04] s. =(s. 3/4 blank)=	NA	NA	NA	   2
340 s., 1 pl.	 342	NA	NA	   2
478 s.	 478	NA	NA	   2
294, [1] s.	 295	NA	NA	   2
247, [1] s.	 248	NA	NA	   2
[8] s. & omsl.	   8	NA	NA	   2
208s	 208	NA	NA	   2
57s	  57	NA	NA	   2
325s	 325	NA	NA	   2
53,(1)s	  53	NA	NA	   2
211, [1] s.	 212	NA	NA	   2
413 s.	 413	NA	NA	   2
341 s.	 341	NA	NA	   2
121,(1)s	 121	NA	NA	   2
278, [1] s.	 279	NA	NA	   2
186, [1] s.	 187	NA	NA	   2
[38] s.	  38	NA	NA	   2
163, [2] s.	 165	NA	NA	   2
[02] , 58 s.	  60	NA	NA	   2
24 s. =(s. 23/24 blank).=	NA	NA	NA	   2
266, [1] s.	 267	NA	NA	   2
358 s.	 358	NA	NA	   2
392s	 392	NA	NA	   2
198s	 198	NA	NA	   2
[8] s., (s. 7/8 blank)	   8	NA	NA	   2
291s	 291	NA	NA	   2
473 s.	 473	NA	NA	   2
217, [1] s.	 218	NA	NA	   2
358s	 358	NA	NA	   2
219, [1] s.	 220	NA	NA	   2
245, [1] s.	 246	NA	NA	   2
272 s., 1 pl.-bl.	 272	NA	NA	   2
[02] , 30 s.	  32	NA	NA	   2
[04] , 36 s.	  40	NA	NA	   2
[12] s. (s. 11/12 blank)	NA	NA	NA	   2
[108] s.	 108	NA	NA	   2
[4], 319, [1] s.	 324	NA	NA	   2
106s	 106	NA	NA	   2
33s	  33	NA	NA	   2
97, [1] s.	  98	NA	NA	   2
[02] , 432 s. =(s. 421-32 opag.)=.	   2	NA	NA	   2
217,[1] s.	 218	NA	NA	   2
446 s.	 446	NA	NA	   2
(28)s	  28	NA	NA	   2
226, [1] s.	 227	NA	NA	   2
299 s.	 299	NA	NA	   2
195, [1] s.	 196	NA	NA	   2
153, [2] s.	 155	NA	NA	   2
107s	 107	NA	NA	   2
[4], 24 s.	  28	NA	NA	   2
[34] s.	  34	NA	NA	   2
38s.,1 kartbl.	  40	NA	NA	   2
173s	 173	NA	NA	   2
52 s. & omsl.	  52	NA	NA	   2
134, [1] s.	 135	NA	NA	   2
539 s.	 539	NA	NA	   2
287, [1] s.	 288	NA	NA	   2
1 vol.	NA	NA	 1	   2
24 s., 8 pl.-bl.	  24	NA	NA	   2
221s	 221	NA	NA	   2
[02] , 42 s.	  44	NA	NA	   2
[02] , 104 s.	 106	NA	NA	   2
48 s. =(s. 47/48 blank)=.	NA	NA	NA	   2
135, [1] s.	 136	NA	NA	   2
62,(2)s	  62	NA	NA	   2
