original	pagecount	volnumber	volcount	Count
Vlll, 40 s.	  40	NA	NA	   1
(12) 1-318; (1) 2-408 (8) s.	 318	NA	NA	   1
172 bl.	 344	NA	NA	   1
[02] , ii774, [iii02] , iv324, [v44] s. =(s. 762-74 opag.)=.	   2	NA	NA	   1
[04] , 138 s.; [1] ins.	 142	NA	NA	   1
S. 7 s.	   7	NA	NA	   1
960s	 960	NA	NA	   1
(7) 4-125 (1) s.	NA	NA	NA	   1
224 s., 5 pl.-bl.	 224	NA	NA	   1
504 s.	 504	NA	NA	   1
149, (1) s.	 149	NA	NA	   1
[2] , 40 s. & omsl. =(s. 39/40 blank).=	  42	NA	NA	   1
44 s	  44	NA	NA	   1
445 s.	 445	NA	NA	   1
632 s.	 632	NA	NA	   1
2 vol.;([2], 198 s.)	 200	NA	NA	   1
xxxv, 284 s.	 319	NA	NA	   1
[2], 14 s.	  16	NA	NA	   1
317s	 317	NA	NA	   1
(1),25s	  25	NA	NA	   1
212 s., 4 pl.-bl.	 212	NA	NA	   1
vi, 334s., 1 kartbl.	 342	NA	NA	   1
[4], 180 s.	 184	NA	NA	   1
ii, 432 s.	 434	NA	NA	   1
(2),95 bl.	 192	NA	NA	   1
259, [2] s.	 261	NA	NA	   1
161,(1)s	 161	NA	NA	   1
vii, 217 s.	 224	NA	NA	   1
ix, 371 s.	 380	NA	NA	   1
[20] , 196 s. =(s. 185-96 opag.).=	  20	NA	NA	   1
D. 1-2;([4], 211 s., [4] s. ; [4], 216 s.)	 441	NA	NA	   1
[8], 335 [1] s., frontespis	   8	NA	NA	   1
[4], 234 s., 19 pl.	 276	NA	NA	   1
359, [1] s,. [16] pl.-bl.	 360	NA	NA	   1
(1) bl. A8-C8.	   2	NA	NA	   1
84, [1] s.	  85	NA	NA	   1
21 s., [10] tab.-bl.	  21	NA	NA	   1
426,(1)s	 426	NA	NA	   1
150 s., 4 pl.-bl.	 150	NA	NA	   1
60 s.; [1] ins., [1] pl.	  62	NA	NA	   1
(5) 2-160 (4) s.	NA	NA	NA	   1
2 v.	NA	NA	 2	   1
116, [5] s.	 121	NA	NA	   1
(2) 3-312 (1) bl.	NA	NA	NA	   1
422, [3] s.	 425	NA	NA	   1
86 s., 6 pl.-bl.	  86	NA	NA	   1
[4], 345 s.	 349	NA	NA	   1
[2], 44 bl.	  90	NA	NA	   1
26 s. =(s. 25-26 opag. bihang).=	NA	NA	NA	   1
A4-C4D2 + A4-C4.	NA	NA	NA	   1
66, (1) s.	  66	NA	NA	   1
[2], xii, 444, [3] s.	 461	NA	NA	   1
375, [2] s.	 377	NA	NA	   1
640 s.	 640	NA	NA	   1
2 vol.;(672 s.; 688 s.)	1360	NA	NA	   1
26s. (interfol.)	NA	NA	NA	   1
[04], 50, 1164 s. (s. 1121-64 opag.)	  54	NA	NA	   1
2 h. (ix, 325, [1] s.)	 326	NA	NA	   1
8 s. : ill.	   8	NA	NA	   1
(7),256s	 256	NA	NA	   1
264, [2] s.	 266	NA	NA	   1
5 vol. i 6	NA	NA	NA	   1
1 vol.;(24 s.)	  24	NA	NA	   1
(66)s	  66	NA	NA	   1
[27] s.	  27	NA	NA	   1
234, [6] s.	 240	NA	NA	   1
7 vol. (205 [17] s.)	NA	NA	NA	   1
175,(1)s.,12 pl.-bl.	 175	NA	NA	   1
23 s. och 3 pl.	NA	NA	NA	   1
iii, 464 s.	 467	NA	NA	   1
v, 274 s.	 279	NA	NA	   1
[02], 302 s.	 304	NA	NA	   1
286, [2] s.	 288	NA	NA	   1
s. 3-196	 194	NA	NA	   1
S. [497]-506	  10	NA	NA	   1
[16] , 190, 22 s.; xiv pl.	 234	NA	NA	   1
S. [5]-15	  11	NA	NA	   1
299, [2] s., 1 tab.-bl.	 301	NA	NA	   1
[4], 150 s.	 154	NA	NA	   1
(1)s.,s.293-427	 427	NA	NA	   1
(2),24s	  24	NA	NA	   1
[06] , 36 s.	  42	NA	NA	   1
(6)s	   6	NA	NA	   1
(42)bl.	  84	NA	NA	   1
276, [1] s.	 277	NA	NA	   1
[08] , 16 s.	  24	NA	NA	   1
[4], 34 s.	  38	NA	NA	   1
235s	 235	NA	NA	   1
118, [2] s.	 120	NA	NA	   1
241, [2] s.	 243	NA	NA	   1
28 s. =(s. 23-28 opag.).=	NA	NA	NA	   1
105,(1)s	 105	NA	NA	   1
(2),39,(1)s	  39	NA	NA	   1
178, [1] s.	 179	NA	NA	   1
viij,332s	 340	NA	NA	   1
76s.,1 portr.	  78	NA	NA	   1
96 p.	  96	NA	NA	   1
44 s. =(s. 41-44 opag.).=	NA	NA	NA	   1
[02] , 164 s.; [1] rättelsebl.	 166	NA	NA	   1
[2] , 240 s.; [1] rättelsebl.	 242	NA	NA	   1
362s	 362	NA	NA	   1
186 s.;(186s)	 372	NA	NA	   1
556 s. (s. 555-56 opag.) ; [1] ins.	NA	NA	NA	   1
178,(2)s	 178	NA	NA	   1
32 s., 8 pl.-bl.	  32	NA	NA	   1
50 s. =(s. 50 felpag. '47').=	NA	NA	NA	   1
[04] , 252 s.; pl.titelbl.	 258	NA	NA	   1
12, [4] s.	  16	NA	NA	   1
25, [6] s., viii, 106 pl.-s	  39	NA	NA	   1
392, [2] s.	 394	NA	NA	   1
(3), viij, 1036 s.	1044	NA	NA	   1
50s.(inkl. ann.)	  50	NA	NA	   1
12,(2)s	  12	NA	NA	   1
[4], 196 s.	 200	NA	NA	   1
527 s.	 527	NA	NA	   1
[8], 420, [4] s.	 432	NA	NA	   1
179, [1] s., 1 pl.	 182	NA	NA	   1
134, [2] s.	 136	NA	NA	   1
171, [2] s.	 173	NA	NA	   1
440 s., 22 pl.-bl., 2 portr.-bl., 1 karta (v.)	 442	NA	NA	   1
279s	 279	NA	NA	   1
58s.,3 pl.,1 karta	  60	NA	NA	   1
89 s.;(iv, 89 s.)	 182	NA	NA	   1
19 s., 2 pl.-bl.	  19	NA	NA	   1
(10) 1-227 (1) s.	NA	NA	NA	   1
[4]; [2] 315 [1]; [2] 288; [78] s.	 690	NA	NA	   1
34 s., 1 portr.	  36	NA	NA	   1
(2),73s	  73	NA	NA	   1
246, [1] s.	 247	NA	NA	   1
xxxij, 438 s., 1 pl.-bl.	 470	NA	NA	   1
154, [1] s.	 155	NA	NA	   1
[6], 26 s.	  32	NA	NA	   1
12, ii12 s.	  12	NA	NA	   1
[2], 16 s.	  18	NA	NA	   1
415s	 415	NA	NA	   1
255 s., 44 pl.-bl.	 255	NA	NA	   1
[4] S.	   4	NA	NA	   1
vj, 229, (3) s.	 229	NA	NA	   1
214, [1] s.	 215	NA	NA	   1
57,(2)s	  57	NA	NA	   1
[02], 596 s. =(s. 595 opag. rättelser)=	   2	NA	NA	   1
168s +	 168	NA	NA	   1
12 s. (=Evangeliska sällskapets skrifter=. 49.)	NA	NA	NA	   1
[6], 283, [1] s.	 290	NA	NA	   1
48, [1] s.	  49	NA	NA	   1
[08], 476 s.	 484	NA	NA	   1
[2], 75, [1] s., 4 pl.	  86	NA	NA	   1
S. [247]-261	  15	NA	NA	   1
3 vol.;(735s)	 735	NA	NA	   1
34s.,17 pl.-bl.	  34	NA	NA	   1
[5], 297, [1] s.	 303	NA	NA	   1
[02] , xviii, 92 s. =(s. xvii-xviii opag.).=	  20	NA	NA	   1
1 vol.;(64 s.)	  64	NA	NA	   1
xii, 336 s. =(s. 335/36 blank)=, [17] ins., [1] rättelsebl.	  12	NA	NA	   1
5, [1] s.	   6	NA	NA	   1
38s.,21 pl.-bl.	  38	NA	NA	   1
143, [1] s.	 144	NA	NA	   1
44 bl.,1 tab.-bl.	  88	NA	NA	   1
337 s., 17 pl.-bl.	 337	NA	NA	   1
146, (1) s., xvii färgpl.-bl.	 146	NA	NA	   1
125, (1) s.	 125	NA	NA	   1
S. 255-276, Pl. 8	 278	NA	NA	   1
211,(1)s.,4 pl.-bl.	 211	NA	NA	   1
238 s., 14 pl.-bl.	 238	NA	NA	   1
3 vol.;(258, 308, 269 s.)	 308	NA	NA	   1
516s	 516	NA	NA	   1
80 s. =(s. 79-80 opag.)=; [2] pl.	   4	NA	NA	   1
55,(8)s. + 1 löst tab.-bl.	  55	NA	NA	   1
608 s.	 608	NA	NA	   1
2 vol. (x, 430 s., 5 pl.-bl., 2 kartbl. ; viii, 420 s., 7 pl.-bl., 1 kartbl.)	 874	NA	NA	   1
497s	 497	NA	NA	   1
[10], 84, [6] s.	 100	NA	NA	   1
[04] , 26, 22 s.	  30	NA	NA	   1
959 s.	 959	NA	NA	   1
6 d. i 7 vol.	NA	NA	NA	   1
279, [3] s.	 282	NA	NA	   1
259 s., 1 pl.-bl.	 259	NA	NA	   1
14 s., 4 pl-s.	  14	NA	NA	   1
[02] , 166 s. =(s. 163-66 opag.)=.	   2	NA	NA	   1
[02] , 52 s. & omsl.	  54	NA	NA	   1
498 s. =(s. 497-98 felpag. '345', '643')=.	NA	NA	NA	   1
120, vii, [3] s., 22 musikbil.	 130	NA	NA	   1
461 s.	 461	NA	NA	   1
97, (4) s., 5 pl.	 107	NA	NA	   1
25 s., 18 pl.	  61	NA	NA	   1
[16], 372, [8] s.	 396	NA	NA	   1
lx, 355 s.	 415	NA	NA	   1
163, (1) s.	 163	NA	NA	   1
x, 120 s.	 130	NA	NA	   1
[02], 122 s. & omsl.	 124	NA	NA	   1
[06] , 70 s.	  76	NA	NA	   1
vii, 39, [1] bl., 5 pl.-bl.	  48	NA	NA	   1
100 s., 4 pl.-bl.	 100	NA	NA	   1
xiii, 232 s.	 245	NA	NA	   1
[6], 610, v s.	 621	NA	NA	   1
162 s	 162	NA	NA	   1
[2], 41 s.	  43	NA	NA	   1
369 s.,16 pl.-bl.	 369	NA	NA	   1
[08] , 92 s.	 100	NA	NA	   1
222 s., 1 pl.	 224	NA	NA	   1
[08], 216 s. (s. 215 opag. prisuppgift)	   8	NA	NA	   1
(2), 261 s.	 261	NA	NA	   1
A8B8.	NA	NA	NA	   1
136, [2] s.	 138	NA	NA	   1
68, [4] s.	  72	NA	NA	   1
495 s.	 495	NA	NA	   1
[02] , vi, 392 s. =(s. 391-92 opag.)=; [1] pl.	  10	NA	NA	   1
91 s., [4] tab.	  99	NA	NA	   1
98,(2)s.,9 pl.-s	  98	NA	NA	   1
[A18 1-513 (16) s.; 1-171 (3) s.]	 684	NA	NA	   1
90, [1] s.	  91	NA	NA	   1
xv, [1], 344 s.	 360	NA	NA	   1
6, 268 s.	 268	NA	NA	   1
18 s., 16 pl.	  50	NA	NA	   1
230, [2] s.	 232	NA	NA	   1
[02] , 36 s. & omsl.	  38	NA	NA	   1
[6], 218 s.	 224	NA	NA	   1
159,(1)s.,6 pl.-bl.	 159	NA	NA	   1
20 s. =(s. 19/20 blank)=.	NA	NA	NA	   1
20 s. och 1 karta	NA	NA	NA	   1
44 s., 1 pl.-s.	  44	NA	NA	   1
(2) s. A4-B4C.	NA	NA	NA	   1
61 och 49 s.	 110	NA	NA	   1
8, [1] s.	   9	NA	NA	   1
352 s., [4] pl.-bl.	 352	NA	NA	   1
=Gemensamt titelbl.:= [02] s. [02] , 966 s. [02] , 316 s.	 316	NA	NA	   1
112 p.	 112	NA	NA	   1
236, [3] s.	 239	NA	NA	   1
15 s., 2 pl.-bl.	  15	NA	NA	   1
[04] , 252 s. =(s. 251-52 opag, 251 rättelser)=	   4	NA	NA	   1
372,[2] s.	 374	NA	NA	   1
13 st.	NA	NA	NA	   1
11 s., 1 pl.-bl.	  11	NA	NA	   1
227, 83 s.	 227	NA	NA	   1
S. 238-257	  20	NA	NA	   1
54, 106 s.	 106	NA	NA	   1
viij,184s	 192	NA	NA	   1
18s.,1 pl.-s	  18	NA	NA	   1
86, [2] s., 40 pl.-bl.	  88	NA	NA	   1
16 s. =(s. 15/16 blank)=; pl. iii.	   5	NA	NA	   1
[4], 294 s.	 298	NA	NA	   1
[4], 253, [1] s.	 258	NA	NA	   1
(8), 254 s.	 254	NA	NA	   1
[4] , 48 s. =(s. 48 opag. prisuppg.)=.	   4	NA	NA	   1
197, [11] s.	 208	NA	NA	   1
13 bl.	  26	NA	NA	   1
202s.,1 kartbl.	 204	NA	NA	   1
100 s. =(s. 97-100 opag.)=.	NA	NA	NA	   1
(2), 101 s.	 101	NA	NA	   1
420s	 420	NA	NA	   1
5 tab.	  10	NA	NA	   1
xij,210,(1)s	 222	NA	NA	   1
[68] s.	  68	NA	NA	   1
(8), 222 s.	 222	NA	NA	   1
[08] , 76 s.; [1] pl. & omsl.	  84	NA	NA	   1
[02], 150 s. =(s. 138-50 opag.)=	   2	NA	NA	   1
119,(1)s	 119	NA	NA	   1
[8], 136 s.	 144	NA	NA	   1
[02] , ii356, iii336 s.	   2	NA	NA	   1
xii, 355 s.	 367	NA	NA	   1
274, [5] s.	 279	NA	NA	   1
553 s.	 553	NA	NA	   1
251 s., 1 portr.	 253	NA	NA	   1
[3],586,[2] s.	 591	NA	NA	   1
[06], 50 s.;[1] rättelsebl.	  56	NA	NA	   1
[8], 160 s.	 168	NA	NA	   1
2 vol.;(391 ; 455, [1] s.)	 847	NA	NA	   1
S.145-147,4 pl.-bl.	   3	NA	NA	   1
[1], 77, [1] s.	  79	NA	NA	   1
148 s., 2 facs., 5 pl.	 158	NA	NA	   1
(2),103,(2)s	 103	NA	NA	   1
x, 288 s.	 298	NA	NA	   1
[08] , 464 s.	 472	NA	NA	   1
86 s., 4 pl.	  94	NA	NA	   1
551 s.	 551	NA	NA	   1
)(6A8-N8O2.	NA	NA	NA	   1
174 s.,15 pl.-bl.	 174	NA	NA	   1
16 s., 20 pl.-bl.	  16	NA	NA	   1
18,(1)s	  18	NA	NA	   1
34 s., 1 pl.-bl.	  34	NA	NA	   1
187 s.,16 pl.-s. + ann.	 187	NA	NA	   1
xi, 330 s.	 341	NA	NA	   1
xlii, 124, [04] s.	 170	NA	NA	   1
285, [2] s.	 287	NA	NA	   1
[10] , 110 s. =(s. 109/110 blank).=	  10	NA	NA	   1
2 d. i 1 vol. (248, 217 s.)	 248	NA	NA	   1
[04], 124 s.	 128	NA	NA	   1
152 s., 8 pl.-bl.	 152	NA	NA	   1
10 afdelningar	NA	NA	NA	   1
[6], 259 s.	 265	NA	NA	   1
218,(1)s	 218	NA	NA	   1
192 s. och 8 pl.	NA	NA	NA	   1
214, (1) s.	 214	NA	NA	   1
186 s., 15 pl.-s.	 186	NA	NA	   1
32 s. =(s. 29-30 opag. annons, 31/32 blank).=	NA	NA	NA	   1
117, [1] s., [1] pl.-bl.	 118	NA	NA	   1
243 s., 10 pl.-bl.	 243	NA	NA	   1
66 s.,1 pl.	  68	NA	NA	   1
112 s. +	 112	NA	NA	   1
iv, 94 s.	  98	NA	NA	   1
178,[1] s.	 179	NA	NA	   1
(1),91 bl.	 183	NA	NA	   1
2 vol.;(166 ; 182 s.)	 348	NA	NA	   1
iv, 27 s.	  31	NA	NA	   1
[6], 125 s.	 131	NA	NA	   1
221, [2] s.	 223	NA	NA	   1
27 s	  27	NA	NA	   1
[64] s.	  64	NA	NA	   1
60 s., 2 pl.-bl.	  60	NA	NA	   1
[30] , 262 s. =(s. 261-62 opag.)=.	  30	NA	NA	   1
48 s., 1 kartbl.	  50	NA	NA	   1
823 s.	 823	NA	NA	   1
[04] , ii212, iii176 s. =(s. 211/12, iii171/72, iii173/74, iii175/76 blanka)=; [2] pl.	   8	NA	NA	   1
(3),341s	 341	NA	NA	   1
(4), 412 s.	 412	NA	NA	   1
85, [1] s.	  86	NA	NA	   1
160, [16] s.	 176	NA	NA	   1
xiv, 141, s., 208 pl.-s.	 155	NA	NA	   1
1 h. (160 s.)	NA	NA	NA	   1
9,(1)s	   9	NA	NA	   1
57, [2] s.	  59	NA	NA	   1
128, [1] s.	 129	NA	NA	   1
109, [3] s.	 112	NA	NA	   1
2 vol.;(318 s.)	 318	NA	NA	   1
14 s. =(s. 15/16 blank).=	NA	NA	NA	   1
149s., 6 pl.	 161	NA	NA	   1
):(12 A12-I12.	NA	NA	NA	   1
[146] , ii758, iii532, iv362 s. (s. 361/62 blank).	 146	NA	NA	   1
393, [3] s.	 396	NA	NA	   1
236 s., 1 karta, 12 pl.	 262	NA	NA	   1
123, [1] s., [1] vikt pl.-bl.	 124	NA	NA	   1
viij, 151 s.	 159	NA	NA	   1
[10], 342 s.; [1] vikt ins.-bl.	 352	NA	NA	   1
460 s., 2 pl.-bl., 1 vikt karta	 460	NA	NA	   1
a8-c8d4, 1-258 (6) s.	 258	NA	NA	   1
[60] s., [4] ins.	  60	NA	NA	   1
[04] , 152 s. =(s. 151 opag. rättelser)=.	   4	NA	NA	   1
288, [1] s.	 289	NA	NA	   1
188, [2] s.	 190	NA	NA	   1
245s.,1 kartbl.	 247	NA	NA	   1
[04] , 612 s. =(s. 610-12 opag. rättelser)	   4	NA	NA	   1
128 s., [6] pl.-bl.	 128	NA	NA	   1
72 s., 8 pl.-bl.	  72	NA	NA	   1
37[3] s. (s. 39/40 blank)	NA	NA	NA	   1
[1] s., s. 4-33, [2] s.	  33	NA	NA	   1
32 s.; pl.titelbl.	  34	NA	NA	   1
[04], 160 s. & omsl.	 164	NA	NA	   1
582 s.	 582	NA	NA	   1
31 s. och 1 karta	NA	NA	NA	   1
139, [1] s. +	 140	NA	NA	   1
S.107-122	  16	NA	NA	   1
23 bl.	  46	NA	NA	   1
[04] , 368 s.	 372	NA	NA	   1
(42)s	  42	NA	NA	   1
174 s., [16] pl.-bl.	 174	NA	NA	   1
S. [151]-165	  15	NA	NA	   1
A4-C4D2	NA	NA	NA	   1
223, [1] s.	 224	NA	NA	   1
72 s. =(s. 56-72 opag.).=	NA	NA	NA	   1
21,(1)s	  21	NA	NA	   1
151,(1)s.,9 pl.-bl.	 151	NA	NA	   1
134, (1) s., 24 pl.-bl.	 134	NA	NA	   1
[8], 155 s., 3 pl.	 169	NA	NA	   1
18 s., 4 pl.-bl.	  18	NA	NA	   1
(2),18s	  18	NA	NA	   1
2 vol. (s. 1-144 ; 145-288)	 288	NA	NA	   1
xviii, 220 s., [1] lithogr. pl.-bl.	 238	NA	NA	   1
[A]2-E2.	   2	NA	NA	   1
viij och 182 s.	 190	NA	NA	   1
68,(4)s	  68	NA	NA	   1
(4)s.,1 bil.	   4	NA	NA	   1
95, iii s.	  98	NA	NA	   1
159s.,20 pl.-bl.	 159	NA	NA	   1
223 s., 2 pl.-bl.	 223	NA	NA	   1
16 s. =(s. 16 felpag. '6').=	NA	NA	NA	   1
147, [1] s.	 148	NA	NA	   1
2 vol.;(192 s.)	 192	NA	NA	   1
[4], 233 s.	 237	NA	NA	   1
972s.,2 pl.-bl.	 972	NA	NA	   1
158,(2)s.	 158	NA	NA	   1
160,(4)s	 160	NA	NA	   1
223 s., 8 pl.-bl.	 223	NA	NA	   1
64 s., 4 pl.-bl.	  64	NA	NA	   1
[4], 393 s.	 397	NA	NA	   1
24 s. =(s. 20-24 opag.).=	NA	NA	NA	   1
285, [5] s.	 290	NA	NA	   1
775 s.	 775	NA	NA	   1
483s.,13 pl.-bl.	 483	NA	NA	   1
[18], 62 s. =(s. 59/60, 61/62 blanka)=	  18	NA	NA	   1
211s	 211	NA	NA	   1
437 s.	 437	NA	NA	   1
[02] , 280 s.	 282	NA	NA	   1
22 s.; [3] ins.	  22	NA	NA	   1
(4), 116 s.	 116	NA	NA	   1
(7), 112 s., 1 pl.	 114	NA	NA	   1
[04] , 128 s.	 132	NA	NA	   1
[20], 360 s. =(s. 357-60 opag.)=; [1] pl.	  22	NA	NA	   1
291,[13] s.,ix pl.-bl.	 304	NA	NA	   1
284, [1] s.	 285	NA	NA	   1
24 s. =(s. 23-24 opag. annons).=	NA	NA	NA	   1
(47) 2-360 (8) s.; (2) 3-165 bl. (fel i folier.); (1) I-XXXI; (1) II-VIII bl.; F8-G8.; (1) 2-38 (fel i folier.); (39)-48.; (1) VIII-XXX bl.	  41	NA	NA	   1
(2) bl. A2-F2. (fel A2)	   4	NA	NA	   1
(43)s	  43	NA	NA	   1
177, [2] s.	 179	NA	NA	   1
s. 2-6	   5	NA	NA	   1
[04], 48 s. =(s. 45-48 opag.)=; pl.titelbl., [1] pl.& omsl.	   6	NA	NA	   1
[04] , ii188, iii24 s. =(s. ii187-88 opag.)=.	   4	NA	NA	   1
[10] , 392 s.; [1] rättelsebl.	 402	NA	NA	   1
147 s., [8] pl.-bl.	 147	NA	NA	   1
2 vol.;(553; 566 s.)	1119	NA	NA	   1
[08], 280 s.	 288	NA	NA	   1
[48] s. Anmärkning: Tryckt i rött och svart; trol. 1723. =Var.:= punkt efter 'Tammelin' och feltryck 'Finlan' i impressum.	1723	NA	NA	   1
):(6 A4 -F4G2.	NA	NA	NA	   1
158 s., 4 pl.-bl.	 158	NA	NA	   1
108 bl.	 216	NA	NA	   1
S. 63-84, 2 vikta kartor	  22	NA	NA	   1
[02], 94 s. =(s. 83-94 opag.).=	   2	NA	NA	   1
166, [2] s., 1 port.	 168	NA	NA	   1
26 s., 1 vikt pl-bl	  26	NA	NA	   1
241, [3] s.	 244	NA	NA	   1
233s.,33 pl.-bl.,1 karta	 235	NA	NA	   1
46 s	  46	NA	NA	   1
[2], iv, 264 s.	 270	NA	NA	   1
108s	 108	NA	NA	   1
367,(1)s	 367	NA	NA	   1
v, 180 s., xii pl.-bl.	 185	NA	NA	   1
27,(3)s	  27	NA	NA	   1
59s.,5 kartbl.	  69	NA	NA	   1
120 pl. och 8 s. text	NA	NA	NA	   1
80, [1] s.	  81	NA	NA	   1
150 p.	 150	NA	NA	   1
353 s.	 353	NA	NA	   1
[02], 42 s.	  44	NA	NA	   1
[02] s., s. 967-1146.	 182	NA	NA	   1
125 s., 1 pl.-bl.	 125	NA	NA	   1
179 s., 1 pl.	 181	NA	NA	   1
180, [3] s.	 183	NA	NA	   1
135,(1)s	 135	NA	NA	   1
327 s. :;(327 s.)	 654	NA	NA	   1
[1] 16 s.	  17	NA	NA	   1
[02] , ii432, [iii02] , iv 336 s. =(s. iv317-36 opag.)=.	   2	NA	NA	   1
viii, 155 s., 1 pl.	 165	NA	NA	   1
118, [3] s.	 121	NA	NA	   1
[04], 48 s.	  52	NA	NA	   1
[02], 66 s.	  68	NA	NA	   1
[04] , 448 s. =(s. 424- 48 opag.)=.	   4	NA	NA	   1
S. 239-258	  20	NA	NA	   1
s. 2-10	   9	NA	NA	   1
[32] s. (s. 32 blank)	NA	NA	NA	   1
335 s., 1 pl.-bl.	 335	NA	NA	   1
197,(2)s	 197	NA	NA	   1
55,(1) s.	  55	NA	NA	   1
vi, 114 s.	 120	NA	NA	   1
[2], [41] [1] s.	  44	NA	NA	   1
142s.,1 pl.	 144	NA	NA	   1
(2) 3-72 s.	  72	NA	NA	   1
206,(2)s	 206	NA	NA	   1
24 vol.	NA	NA	24	   1
126 s., 4 pl.-bl.	 126	NA	NA	   1
6 och 454 s.	 460	NA	NA	   1
[02], 176 s.	 178	NA	NA	   1
125, [2] s.	 127	NA	NA	   1
vi, 246 s.	 252	NA	NA	   1
166, [1], 57, [2] s.	 169	NA	NA	   1
232s., 8 pl.-bl.	 232	NA	NA	   1
11s.,1 pl.	  13	NA	NA	   1
50,(1)s.,4 pl.	  58	NA	NA	   1
68s.,12 pl.-bl.	  68	NA	NA	   1
[2] 28 s.	  30	NA	NA	   1
88s.,1 pl.-bl.	  88	NA	NA	   1
126, [2] s.	 128	NA	NA	   1
290,[1] s.	 291	NA	NA	   1
299, [1] s.	 300	NA	NA	   1
lvii, 330 s.	 387	NA	NA	   1
94 bl.	 188	NA	NA	   1
117s	 117	NA	NA	   1
40 s.; [2] ins.	  40	NA	NA	   1
(1),17,(1)s	  17	NA	NA	   1
40 s., 7 pl.	  54	NA	NA	   1
172, [1] s.	 173	NA	NA	   1
168, [2] s.	 170	NA	NA	   1
14s. (sammanfattning) +	  14	NA	NA	   1
280s	 280	NA	NA	   1
Örebro	NA	NA	NA	   1
20,(1)s	  20	NA	NA	   1
8 s., 1 pl.	  10	NA	NA	   1
2 vol. (170 ; 175 s.)	 345	NA	NA	   1
246 s., 1 pl.-bl.	 246	NA	NA	   1
113, (6) s.	 113	NA	NA	   1
36 s. 1 pl.-bl.	NA	NA	NA	   1
259, [1] s.	 260	NA	NA	   1
946 sp.	 946	NA	NA	   1
[04] , vi, 204 s.; [1] ins., viii pl.	 230	NA	NA	   1
(2),6s	   6	NA	NA	   1
8 s., 8 pl.	  24	NA	NA	   1
S. 112-173	  62	NA	NA	   1
S. 454-624	 171	NA	NA	   1
651s.,3 tab.	 657	NA	NA	   1
s. 130-134	   5	NA	NA	   1
615 s.	 615	NA	NA	   1
(1),16,(1)s	  16	NA	NA	   1
102 s., [2] vikta pl.-bl.	 102	NA	NA	   1
s. 719-731	  13	NA	NA	   1
[02] , ii26, [iii26] , iv298, [v10] , vi74 s., s. vii73-74, s. 75-160, [viii06] , ix34, [x04] , xi42, xii28, [xiii24] s.	 162	NA	NA	   1
[15] s.	  15	NA	NA	   1
282 s., 56 pl.-bl., 9 kartbl.	 300	NA	NA	   1
[02] , 302 s. =(s. 299-302 opag., s. 298 felpag. '289').=	   2	NA	NA	   1
2v.	NA	NA	 2	   1
20 s., 2 tab.	  24	NA	NA	   1
132 s. =(s. 131/132 blank).=	NA	NA	NA	   1
s.233-240	   8	NA	NA	   1
183,(1)s.,1 portr.	 185	NA	NA	   1
51 s., 8 pl.	  67	NA	NA	   1
54 s.; [1] rättelsebl.	  54	NA	NA	   1
[08] , 624 s. =(s. 623 opag. rättelser)=; pl.titelbl.	  10	NA	NA	   1
[04], 212 s. (s. 205-12 opag.), [8] pl.-bl.	   4	NA	NA	   1
[34], 722 s., 6 vikta pl.-bl.	 756	NA	NA	   1
viii, [2], 251 s.	 261	NA	NA	   1
79s.,3 pl.-bl.	  79	NA	NA	   1
233, [3] s.	 236	NA	NA	   1
149,(1)s	 149	NA	NA	   1
2 vol.;(319 s.)	 319	NA	NA	   1
[8], 68, [4] s.	  80	NA	NA	   1
[8], 830 s.	 838	NA	NA	   1
118,(3)s.,6 pl.-bl.	 118	NA	NA	   1
2 vol.;(168; 144 s.)	 312	NA	NA	   1
154, 170 s.	 170	NA	NA	   1
xij,360s	 372	NA	NA	   1
[3], 255 s., 44 pl.	 346	NA	NA	   1
2 vol.;(283, [1] ; 297, [2] s.)	 583	NA	NA	   1
[6], 27 [1] s.	   6	NA	NA	   1
37, (1) s., 1 pl.-bl.	  37	NA	NA	   1
(1),245 s.	 245	NA	NA	   1
78,(1)s	  78	NA	NA	   1
[02] , 46 s.	  48	NA	NA	   1
24 s., 1 pl.-bl. +	  24	NA	NA	   1
[4], 504, [7] s.	 515	NA	NA	   1
167,(1)s	 167	NA	NA	   1
30 s., 1 pl.-bl.	  30	NA	NA	   1
323s.,16 pl.-bl.	 323	NA	NA	   1
vj, 85 s.	  85	NA	NA	   1
16 st.	NA	NA	NA	   1
163 s. och 1 tab.	NA	NA	NA	   1
91, [1] s.	  92	NA	NA	   1
31, (1) s.	  31	NA	NA	   1
[06] , 104 s.	 110	NA	NA	   1
172, [3] s., vi pl.-s. i färg	 175	NA	NA	   1
[5], 119 s.	 124	NA	NA	   1
39 pl.	  78	NA	NA	   1
492 s.	 492	NA	NA	   1
[02] , 204 s.	 206	NA	NA	   1
[08], 200 s.	 208	NA	NA	   1
2 r:dr 24 sz. banko. =(Rubr.)= (Stockholm, tryckt i Ecksteinska boktryckeriet, 1823.) 4:o. [02] s.	1823	NA	NA	   1
xvi, 111 s.	 127	NA	NA	   1
[1 pl.-bl.], 10 s.	  10	NA	NA	   1
[4], 356 s.	 360	NA	NA	   1
S. 3-227, [1] s. & skyddsomsl.	 226	NA	NA	   1
viij,141s	 149	NA	NA	   1
103 s., 1 portr.	 105	NA	NA	   1
