original	polished	Count
Svenska bokförl./Norstedt	Svenska bok/Norstedt	  15
Dagens böcker :;[Seelig]	Dagens böcker	  15
Scoutförl.	Scout	  15
Svenska turistföreningen	Svenska turistfören	  15
Fahlcrantz & Co.	Fahlcrantz & Co	  15
Svenska tr.-a.-b.	Svenska tr.-a.-b	  15
Ivar Hæggström	Ivar Häggström	  15
Kyrkliga förb.	Kyrkliga förb	  15
Fröléen & Co.	Fröleen & Co	  15
Missionsbladets exp.	Missionsbladets exp	  15
Visförl.	Vis	  15
Appelbergs boktr.	Appelbergs boktr	  15
Åhlén & Holm	Åhlen & Holm	  15
Lantförsvarets kommandoexp.	Lantförsvarets kommandoexp	  15
[Koop. förb.]	Koop. förb	  15
Natur o. Kultur	Natur & Coultur	  15
[Fören]	Fören	  15
J. A. Svensson	J.W. Svensson	  15
Vetenskapsakademien	 Vetenskapsakademien	  15
Historiekomm.	Historiekomm	  15
N. M. Lindh	N.M. Lindh	  14
W. Billes Bokf.-aktb.	W. Billes Bokf.-aktb	  14
Aftonbladets	Aftonbladet	  14
G. W. Edlund	G.W. Edlund	  14
Sv. musikhandlarefören.	Svenska musikhandlarefören	  14
Sv. hembygd	Svenska hembygd	  14
Albert Bonniers förlag	Albert Bonnier	  14
Söderström & C:o	Söderström & Co	  14
Sv. teknologfören	Svenska teknologföreningen	  14
Dahlberg & C:o	Dahlberg & Co	  14
Westerbergs	Westerberg	  14
S. A. C:s förl.	S. A. C	  14
Sv. alliansmissionens förl.	Svenska alliansmissionen	  14
Kooperativa förbundets förl.	Kooperativa	  14
Sv. teosofiska bokf.	Svenska teosofiska bok	  14
Almqvist & Wiksell (distr.)	Almqvist & Wiksell	  14
Sv. gruvfören.	Svenska gruvfören	  14
[förb.]	förb	  14
Jordbrukare-ungdomens förb.	Jordbrukare-ungdomens förb	  14
Hj. Möllers bokh.	Hj. Möllers bokhandel	  14
P. A. Norstedt	P.A. Norstedt	  14
Bibeltrogna vänners förl.	Bibeltrogna vänner	  14
Norrtelje Tidn.	Norrtelje Tidning	  14
Kumla tr.	Kumla tr	  14
Hökerbergs	Hökerberg	  14
[Norstedt]	Norstedt	  14
Håkan Ohlssons boktr.	Håkan Ohlssons boktr	  14
Littorins bokh.	Littorins bokhandel	  14
Borås tidn.	Borås tidn	  14
[Klubben]	Klubben	  14
A. F. Bergh	A.F. Bergh	  14
Sundsvalls tidn.	Sundsvalls tidn	  14
Gleerupska univ.-bokh. i distr.	Gleerupska universitetsbokhandel	  14
Sveriges scoutförbund	Sveriges scout	  14
Svenska missionsförb. i Amerika	Svenska missions i Amerika	  14
Evangeliska fosterlands-stiftelsen	Evangeliska fosterlandsstiftelsen	  14
Svenssons	Svensson	  13
Fritzes hofbokh.	Fritzes hofbokhandel	  13
Z. Hæggströms f.-exp.	Z. Häggströmsexp	  13
Ringnér & Enewald	Ringner & Enevald	  13
P. A. Norstedt & S:r.	P.A. Norstedt & Söner	  13
Norrköpings tidn:s	Norrköpings Tidn	  13
Fahlcrantz'	Fahlcrantz	  13
Lundéns	Lundgrens	  13
Skand. förl.-exp.	Skand. sexp	  13
Studieförb. Medborgarskolans rekvisitionsbyrå	Studie Medborgarskolans reqvisitionsbyrå	  13
Svenska bokförl./Bonnier	Svenska bok/Bonnier	  13
Gutenbergförl.	Gutenberg	  13
Arbetarkultur [Seelig]	Arbetarkultur	  13
Fritzes hovbokh.	Fritzes hovbokhandel	  13
Tidens förlag	Tiden	  13
Dahlberg & Co.	Dahlberg & Co	  13
Landskommunernas förb.	Landskommunernas förb	  13
Sveriges industriförbund	Sveriges industri	  13
Perfekta-tr.	Perfekta-tr	  13
Skånska Dagbladet	Skånska Dagbl	  13
Västmanlands Folkblad	Västmanlands folkbl	  13
Vakttornets bibel- och traktatsällskap	Vakttornets bibel- & traktatsällsk	  13
Sölvesborgs boktr.-a.-b.	Sölvesborgs boktr.-a.-b	  13
Nordisk rotogravyr.	Nordisk rotogravyr	  13
A. J. Lindgren	A.J. Lindgren	  13
B. M:s bokförl.	B. M:s bokf	  13
Fritzes bokh. i distr.	Fritzes bokhandel i distr	  13
L. V. Jansson	L.V. Jansson	  13
O. L. Svanbäck	O.L. Svanbäck	  13
[Lindstedts univ.-bokh.]	Lindstedts universitetsbokhandel	  13
Engberg-Holmberg Pub. Co.	Engberg-Holmberg Publ. Co	  13
Kultisförl.	Kultis-	  12
Müller	Myller	  12
Central-tryckeriet	Centraltryckeriet	  12
Ehlins	Ehlin	  12
P. A. Huldberg	P.A. Huldberg	  12
Kvinnl. miss.-arb:s förl.	Kvinnl. miss.-arb	  12
Förl.-a.-b.	s-a.-b	  12
Magnus Bergvall	Magn. Bergvall	  12
P. Palmquist	P. Palmqvist	  12
Palmquists	Palmqvist	  12
A. V. Carlsson	A.V. Carlson	  12
Almqvist & Wiksell :;Natura :;Lewis & Co. :;C. Klincksieck	Almqvist & Wiksell	  12
Sveriges scoutförb.	Sveriges scoutförb	  12
Kooperativa förbundets förlag	Kooperativa	  12
Koop. förb., Gruppverksamheten	Koop. , Gruppverksamheten	  12
Jan förl.	Jan	  12
Lantbrukssällsk:s tidskr.-ab.	Lantbrukssällsk:s tidskr.-ab	  12
Antroposof. bokförl.	Antroposof. bok	  12
Vestmanlands läns tidn.	Vestmanlands läns tidn	  12
Sv. allm. exportfören.	Svenska allm. exportfören	  12
Bonnier ;;Söderström	Bonnier	  12
Smålands-Tidn.	Smålands-Tidn	  12
Kristianstads Läns Tidn.	Kristianstads läns tidn	  12
M. C. Aaröe	M.C. Aaröe	  12
Wahlströms	Wahlström	  12
Kalmar tr.-a.-b.	Kalmar tr.-a.-b	  12
Malmö centraltr.	Malmö centraltr	  12
Krooks bokh.	Krooks bokhandel	  12
Smålands-tidn.	Smålands-Tidn	  12
Sv. allmogeförl. (distr.)	Svenska allmoge	  12
Sv. djurskyddsvännernas andelsförl.	Svenska djurskyddsvännernas andels	  12
Allmänna valmansförbundet	Allmänna valmans	  12
Nya tr.	Nya tr	  12
Albert Bonniers Förlag	Albert Bonnier	  12
C. R. Holmqvist	C.R. Holmqvist	  12
